,Task lang,Aux lang,Accuracy,Rank,Accuracy level,Overlap word-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
39,pcm,por,0.2667,12,49,0.1092436974789916,12078,948,12.740506329113924,0.1985895453616555,0.0925206033276318,1.3143152948543155,0.942,1.2471,1.1681,0.7631,0.4523,0.34327233403440766
40,pcm,nld,0.106,42,19,0.1260504201680672,13583,948,14.32805907172996,0.2163749886307094,0.0925206033276318,1.7920324276771111,0.7366,1.2376,1.158,0.7736,0.5088,0.23940490750081225
41,pcm,eng,0.5337,1,60,0.6848739495798319,16622,948,17.533755274261605,0.1746279711803919,0.0925206033276318,0.7875667050215235,0.2804,1.2799,1.1886,0.7992,0.5536,0.3853869269615733
42,pcm,ita,0.0684,51,10,0.1109243697478991,14167,948,14.94409282700422,0.2090539911907565,0.0925206033276318,1.5864406616712512,0.9359,1.2443,1.1735,0.7888,0.4483,0.20246508194198456
43,pcm,cat,0.2631,14,47,0.0932773109243697,16678,948,17.59282700421941,0.1431069684669108,0.0925206033276318,0.2989441345184318,0.9392,1.225,1.1565,0.7642,0.4518,0.1851386324120647
44,pcm,hin,0.0338,55,6,0.0008403361344537,16647,948,17.560126582278482,0.072831563624156,0.0925206033276318,0.04528685453781,0.9273,1.233,1.1484,0.7834,0.5652,0.3862586787699206
45,pcm,pol,0.1294,37,24,0.0361344537815126,17246,948,18.19198312236287,0.4049278834815912,0.0925206033276318,11.401588941281997,0.9139,1.258,1.2079,0.805,0.5539,0.24890239083581592
46,pcm,deu,0.0915,47,14,0.0932773109243697,15590,948,16.445147679324894,0.2724193133980275,0.0925206033276318,3.780760668947235,0.6723,1.087,0.965,0.8383,0.5344,0.2428663618323862
47,pcm,fro,0.0993,44,17,0.0798319327731092,17678,948,18.647679324894515,0.0937745835963677,0.0925206033276318,0.0001836980277725,0.9445,1.0602,1.0497,1.2545,1.3345,0.20489975187530876
48,pcm,spa,0.2583,17,44,0.080672268907563,17680,948,18.649789029535864,0.1474296839146102,0.0925206033276318,0.3522179064567743,0.9445,1.1373,1.0049,0.7691,0.6019,0.45918307697124994
49,pcm,fra,0.3121,6,55,0.1974789915966386,16448,948,17.350210970464136,0.2057620460579268,0.0925206033276318,1.498076099396518,0.9445,1.2624,1.1771,0.7834,0.5141,0.19918258117577348
50,pcm,fin,0.0935,46,15,0.0394957983193277,18723,948,19.75,0.3189427368077481,0.0925206033276318,5.989090066108308,1.0,1.2697,1.188,0.7857,0.5464,0.3134745427588297
51,pcm,grc,0.0974,45,16,0.0008403361344537,17081,948,18.01793248945148,0.1730742274014335,0.0925206033276318,0.758041976917815,0.9037,1.1867,1.2328,1.2545,1.3345,0.17925342218683896
52,pcm,nor,0.0374,53,8,0.1546218487394958,20045,948,21.14451476793249,0.1846147253241721,0.0925206033276318,0.9908020837435026,0.7349,1.0749,0.9642,0.8383,0.6402,0.2852334501301567
53,pcm,ara,0.1558,32,29,0.0008403361344537,19738,948,20.82067510548524,4.7672168034857886e-06,0.0925206033276318,0.9998969506506828,1.0,1.2112,1.237,1.2545,1.3345,0.2265842290446338
54,pcm,lao,0.1209,39,22,0.0436974789915966,18400,948,19.40928270042194,0.1715984617000315,0.0925206033276318,0.7305213041056051,1.0,1.1717,1.0647,0.7888,0.4649,0.5155674243751317
55,pcm,est,0.1321,36,25,0.0773109243697479,26197,948,27.633966244725737,0.3337469262526225,0.0925206033276318,6.797864150897084,0.9654,1.1651,1.2136,1.2545,1.3345,0.2883910982351187
56,pcm,kor,0.0777,50,11,0.0369747899159663,27363,948,28.86392405063291,0.2977608806802764,0.0925206033276318,4.920942307475862,1.0,1.2628,1.1872,0.8161,0.6127,0.5874020276146509
57,pcm,jpn,0.1515,33,28,0.0,57256,948,60.39662447257384,0.0003197953309881,0.0925206033276318,0.9930989933719808,1.0,1.2633,1.1924,0.7779,0.5464,0.6307356256123319
58,pcm,rus,0.0314,56,5,0.0277310924369747,61889,948,65.28375527426161,0.2241205920170711,0.0925206033276318,2.023181250546175,0.9037,1.2477,1.2026,0.8536,0.5764,0.3978959888187791
59,pcm,ces,0.1928,27,34,0.1310924369747899,87913,948,92.73523206751057,0.1727176492441835,0.0925206033276318,0.7513457430104816,0.9214,1.2348,1.1775,0.8153,0.549,0.2265792073771971
60,amh,bxr,0.134,25,36,0.0004017677782241,927,1074,0.8631284916201117,0.6023336111441838,0.4744567289363325,0.0726425126186455,1.0,0.4925,0.6809,1.3017,1.273,0.3739686711699763
61,amh,kmr,0.1353,24,37,0.0008035355564483,754,1074,0.702048417132216,0.3877346961448728,0.4744567289363325,0.033409169348278,1.0,0.4722,0.4999,0.5784,0.4124,0.16505923690559343
62,amh,hsb,0.1657,14,47,0.0008035355564483,646,1074,0.6014897579143389,0.5423194196193881,0.4744567289363325,0.0204582710957715,1.0,0.558,0.7032,1.3017,1.273,0.27195843089779703
63,amh,kaz,0.1499,17,44,0.0008035355564483,1078,1074,1.0037243947858474,0.6191198786039454,0.4744567289363325,0.0929656718670934,1.0,0.532,0.6876,1.2422,1.273,0.26489535645807855
64,amh,hye,0.2132,4,57,0.0004017677782241,564,1074,0.5251396648044693,0.5479001354751306,0.4744567289363325,0.0239614118852308,1.0,0.4216,0.4675,0.6776,0.3995,0.22343465957007266
65,amh,swl,0.0691,49,12,0.0004017677782241,203,1074,0.1890130353817504,0.4872907625542468,0.4744567289363325,0.0007317001168975,1.0,0.558,0.7032,1.3017,1.273,0.3141876735751338
66,amh,lit,0.1301,27,34,0.0004017677782241,263,1074,0.2448789571694599,0.5654157163591126,0.4744567289363325,0.0367534416519119,1.0,0.4459,0.488,0.5853,0.4444,0.272860477634465
67,amh,bel,0.0857,45,16,0.0004017677782241,393,1074,0.3659217877094972,0.5525618374558304,0.4744567289363325,0.0270997734076901,1.0,0.4779,0.6865,1.3017,1.273,0.2610812981238716
68,amh,mar,0.1969,8,53,0.0008035355564483,466,1074,0.4338919925512104,0.5290718671000361,0.4744567289363325,0.0132505178842537,1.0,0.4474,0.4811,0.8197,0.4409,0.22936106023988223
69,amh,cop,0.2134,3,58,0.0004017677782241,514,1074,0.478584729981378,0.4940717882085432,0.4744567289363325,0.0017091730208705,0.8278,0.405,0.4837,0.7015,0.7359,0.11413256688932458
70,amh,tam,0.2737,1,60,0.0004017677782241,600,1074,0.5586592178770949,0.5614149588826524,0.4744567289363325,0.0335914043976129,1.0,0.4438,0.4824,0.7975,0.4548,0.23012160046781627
71,amh,gle,0.1649,15,46,0.0012053033346725,1020,1074,0.9497206703910616,0.3499300699300699,0.4744567289363325,0.0688860768692641,1.0,0.4407,0.5023,0.8241,0.4737,0.32873683374627266
72,amh,hun,0.1118,33,28,0.0004017677782241,1800,1074,1.675977653631285,0.4546198320061089,0.4744567289363325,0.0017480516186745,1.0,0.4625,0.4903,0.5702,0.3863,0.23316869232975002
73,amh,tel,0.1658,13,48,0.0016070711128967,1328,1074,1.2364990689013036,0.3446196660482374,0.4744567289363325,0.0748866053698936,1.0,0.4509,0.4898,0.4813,0.4974,0.22846467052744326
74,amh,afr,0.0963,40,21,0.0008035355564483,1934,1074,1.8007448789571694,0.203484865408243,0.4744567289363325,0.3261783830147554,1.0,0.7127,0.7017,0.7823,0.5834,0.22360400130739674
75,amh,vie,0.1857,10,51,0.0012053033346725,3000,1074,2.793296089385475,0.1568043561492321,0.4744567289363325,0.4482403894673331,1.0,0.4495,0.4813,0.5511,0.5011,0.3661465163515783
76,amh,uig,0.1939,9,52,0.0004017677782241,3456,1074,3.217877094972067,0.4374610522567435,0.4744567289363325,0.0060800721079953,1.0,0.4627,0.6495,1.094,1.273,0.35474681305472083
77,amh,ell,0.0943,41,20,0.0008035355564483,2521,1074,2.3472998137802605,0.2837253360022877,0.4744567289363325,0.1616036405847426,1.0,0.4609,0.5048,0.6054,0.4989,0.20516047508625634
78,amh,sme,0.1791,11,50,0.0008035355564483,3122,1074,2.9068901303538177,0.4513223794042703,0.4744567289363325,0.0023775045963217,1.0,0.4278,0.6414,1.3017,1.273,0.31494258876633197
79,amh,glg,0.1127,32,29,0.0008035355564483,3993,1074,3.717877094972067,0.2302721876615389,0.4744567289363325,0.2648763065806108,1.0,0.4625,0.5131,0.7975,0.4142,0.2766974748491628
80,amh,srp,0.2247,2,59,0.0004017677782241,3891,1074,3.622905027932961,0.3111760696308725,0.4744567289363325,0.1184339652395492,1.0,0.474,0.6544,1.1547,1.273,0.2226186271740249
81,amh,got,0.1195,29,32,0.0004017677782241,5401,1074,5.028864059590316,0.1811019353439708,0.4744567289363325,0.3822901936100947,1.0,0.4842,0.6655,1.3017,1.273,0.22131425988122366
82,amh,tur,0.209,5,56,0.0004017677782241,5635,1074,5.246741154562383,0.5061541783632045,0.4744567289363325,0.0044632931722329,1.0,0.4484,0.4841,0.5342,0.4548,0.1757244182032757
83,amh,zho,0.1096,34,27,0.0004017677782241,4997,1074,4.65270018621974,0.9869043288468534,0.4744567289363325,1.1665563072539753,1.0,0.4697,0.5008,0.5988,0.5393,0.3589704193342918
84,amh,urd,0.1049,37,24,0.0008035355564483,5130,1074,4.776536312849162,0.1056406117958751,0.4744567289363325,0.6042637783596367,1.0,0.4654,0.5159,0.8632,0.531,0.2050991244468138
85,amh,chu,0.1423,20,41,0.0004017677782241,6337,1074,5.900372439478585,0.1959524016329366,0.4744567289363325,0.344564613920532,1.0,0.558,0.7032,1.3017,1.273,0.2120250300080396
86,amh,swe,0.1404,22,39,0.0008035355564483,6026,1074,5.610800744878957,0.2404336943809909,0.4744567289363325,0.2432898509313028,1.0,0.3998,0.4774,0.8283,0.5494,0.31110514816555157
87,amh,dan,0.0384,51,10,0.0008035355564483,5512,1074,5.132216014897579,0.2897915761056075,0.4744567289363325,0.1514874582800071,1.0,0.4022,0.6517,1.3017,1.273,0.2914070232568347
88,amh,ind,0.0358,52,9,0.0008035355564483,5593,1074,5.207635009310987,0.2927781145801758,0.4744567289363325,0.1466271513013074,1.0,0.3923,0.4169,0.5853,0.2701,0.43564684813255605
89,amh,ukr,0.011,57,4,0.0012053033346725,5873,1074,5.468342644320298,0.4399821508255243,0.4744567289363325,0.0052796447289216,1.0,0.4112,0.4547,0.7877,0.3995,0.23178525398824398
90,amh,fas,0.0709,48,13,0.0008035355564483,5997,1074,5.583798882681564,0.15688157524207,0.4744567289363325,0.4480224876843969,1.0,0.4672,0.4861,0.5988,0.3666,0.15449219018438765
91,amh,heb,0.1725,12,49,0.0008035355564483,6216,1074,5.787709497206704,0.4067013046511386,0.4744567289363325,0.0203936479374259,0.718,0.4287,0.481,0.9268,0.5458,0.1503961196933594
92,amh,eus,0.0938,42,19,0.0008035355564483,8993,1074,8.373370577281191,0.3519527880166261,0.4744567289363325,0.0666663839830821,0.9724,0.4474,0.477,0.6054,0.4575,0.2751933426212336
93,amh,lav,0.0983,38,23,0.0008035355564483,7703,1074,7.172253258845438,0.37546297265061,0.4744567289363325,0.043533379897116,1.0,0.4134,0.6288,0.6054,1.273,0.27634681493741053
94,amh,slv,0.0118,56,5,0.0012053033346725,8000,1074,7.4487895716946,0.3676498731122853,0.4744567289363325,0.0506763165509655,1.0,0.4494,0.4891,0.8197,0.3852,0.23971583692631218
95,amh,hrv,0.0838,46,15,0.0008035355564483,8889,1074,8.276536312849162,0.2981575694863614,0.4744567289363325,0.138072523603274,1.0,0.534,0.5471,0.8197,0.3508,0.240718074890492
96,amh,ron,0.1412,21,40,0.0008035355564483,9524,1074,8.86778398510242,0.2570438554726763,0.4744567289363325,0.2099796904993225,1.0,0.4463,0.4777,0.6441,0.2823,0.21825139906297653
97,amh,slk,0.1062,36,25,0.0008035355564483,10604,1074,9.873370577281191,0.4130087201061381,0.4744567289363325,0.0167734503815637,1.0,0.558,0.7032,1.3017,1.273,0.24366803901650708
98,amh,bul,0.1306,26,35,0.0008035355564483,11138,1074,10.370577281191808,0.2891950325041875,0.4744567289363325,0.1524677714215615,1.0,0.4191,0.4722,0.5702,0.4983,0.2020852075562517
99,amh,por,0.1185,30,31,0.0008035355564483,12078,1074,11.245810055865922,0.1985895453616555,0.4744567289363325,0.3380701772932888,1.0,0.4459,0.4962,0.7928,0.4124,0.4938555117558179
100,amh,nld,0.0861,44,17,0.0012053033346725,13583,1074,12.647113594040968,0.2163749886307094,0.4744567289363325,0.29588390140601,1.0,0.4336,0.4889,0.8019,0.4916,0.2879504764111348
101,amh,eng,0.0826,47,14,0.0020088388911209,16622,1074,15.476722532588454,0.1746279711803919,0.4744567289363325,0.3993496885788866,1.0,0.4348,0.4732,0.5853,0.4674,0.38067511595888137
102,amh,ita,0.011,57,4,0.0008035355564483,14167,1074,13.190875232774674,0.2090539911907565,0.4744567289363325,0.3129086553219479,1.0,0.4403,0.493,0.7877,0.3995,0.24601836695527535
103,amh,cat,0.1471,18,43,0.0020088388911209,16678,1074,15.528864059590315,0.1431069684669108,0.4744567289363325,0.4877307093398497,1.0,0.4669,0.4895,0.4813,0.3364,0.28124643697527846
104,amh,hin,0.1066,35,26,0.0008035355564483,16647,1074,15.5,0.072831563624156,0.4744567289363325,0.7165534872571868,1.0,0.4761,0.505,0.6644,0.4771,0.22848754026869747
105,amh,pol,0.2071,6,55,0.0016070711128967,17246,1074,16.057728119180634,0.4049278834815912,0.4744567289363325,0.0214751801163773,1.0,0.4876,0.5225,0.5511,0.4278,0.262626230887089
106,amh,deu,0.0306,53,8,0.0016070711128967,15590,1074,14.51582867783985,0.2724193133980275,0.4744567289363325,0.1813303033368516,1.0,0.4325,0.4833,0.6441,0.498,0.2782572438019277
107,amh,fro,0.1393,23,38,0.0004017677782241,17678,1074,16.459962756052143,0.0937745835963677,0.4744567289363325,0.6437715728285827,1.0,0.4799,0.6633,1.3017,1.273,0.2743603971450051
108,amh,spa,0.1565,16,45,0.0016070711128967,17680,1074,16.461824953445067,0.1474296839146102,0.4744567289363325,0.4750880641531776,1.0,0.4329,0.4713,0.3743,0.4275,0.5934035661297731
109,amh,fra,0.0134,55,6,0.0020088388911209,16448,1074,15.314711359404097,0.2057620460579268,0.4744567289363325,0.3207191735098895,1.0,0.4088,0.4729,0.6644,0.4796,0.26670356365352554
110,amh,fin,0.0651,50,11,0.0020088388911209,18723,1074,17.432960893854748,0.3189427368077481,0.4744567289363325,0.1074349830056775,1.0,0.4549,0.4832,0.5533,0.4444,0.3115132126451499
111,amh,grc,0.1431,19,42,0.0004017677782241,17081,1074,15.904096834264433,0.1730742274014335,0.4744567289363325,0.4034993559637911,1.0,0.4692,0.6721,1.3017,1.273,0.18956909786824858
112,amh,nor,0.0109,59,2,0.0012053033346725,20045,1074,18.66387337057728,0.1846147253241721,0.4744567289363325,0.3731895083504338,1.0,0.4246,0.4811,0.6441,0.5291,0.31415494207112005
113,amh,ara,0.115,31,30,0.0004017677782241,19738,1074,18.3780260707635,4.7672168034857886e-06,0.4744567289363325,0.9999799046253836,0.6936,0.4267,0.642,1.3017,1.273,0.1399475655234191
114,amh,lao,0.0,60,1,0.0004017677782241,18400,1074,17.13221601489758,0.1715984617000315,0.4744567289363325,0.4074606238770104,1.0,0.4027,0.4412,0.8241,0.4189,0.35708744384673446
115,amh,est,0.0163,54,7,0.0008035355564483,26197,1074,24.39199255121043,0.3337469262526225,0.4744567289363325,0.0879539781537963,0.9724,0.4737,0.6761,1.3017,1.273,0.28569790087296165
116,amh,kor,0.1279,28,33,0.0016070711128967,27363,1074,25.47765363128492,0.2977608806802764,0.4744567289363325,0.1386945735943618,1.0,0.4826,0.5164,0.5893,0.4887,0.4571816593218716
117,amh,jpn,0.2045,7,54,0.0,57256,1074,53.31098696461825,0.0003197953309881,0.4744567289363325,0.9986524058503538,1.0,0.4407,0.4853,0.5342,0.465,0.5057482385970172
118,amh,rus,0.0894,43,18,0.0016070711128967,61889,1074,57.62476722532588,0.2241205920170711,0.4744567289363325,0.2783901541586043,1.0,0.4495,0.5034,0.5893,0.4639,0.3310652199516567
119,amh,ces,0.0979,39,22,0.0016070711128967,87913,1074,81.85567970204842,0.1727176492441835,0.4744567289363325,0.4044547144913261,1.0,0.4123,0.4732,0.8197,0.437,0.24985520196781688
120,tha,bxr,0.0901,40,21,0.009979353062629,927,1000,0.927,0.6023336111441838,0.9207858048162232,0.1196110379081184,1.0,0.5374,0.7079,1.238,1.2969,0.2610416356208978
121,tha,kmr,0.1864,12,49,0.0048176187198898,754,1000,0.754,0.3877346961448728,0.9207858048162232,0.3351355286698407,1.0,0.4503,0.4573,0.4278,0.4897,0.3342004739704302
122,tha,hsb,0.1847,13,48,0.0130763936682725,646,1000,0.646,0.5423194196193881,0.9207858048162232,0.1689419075298821,1.0,0.531,0.6777,1.238,1.2969,0.43824064208070956
123,tha,kaz,0.1753,18,43,0.0182381280110117,1078,1000,1.078,0.6191198786039454,0.9207858048162232,0.1073334987105542,1.0,0.5095,0.6611,1.089,1.2969,0.22822926118842174
124,tha,hye,0.1136,38,23,0.0092911218169304,564,1000,0.564,0.5479001354751306,0.9207858048162232,0.1639963397506209,1.0,0.4888,0.51,0.5853,0.5211,0.3169085981073905
125,tha,swl,0.0629,46,15,0.0,203,1000,0.203,0.4872907625542468,0.9207858048162232,0.2216414787714358,1.0,0.531,0.6777,1.238,1.2969,0.41104604814511647
126,tha,lit,0.1336,33,28,0.0020646937370956,263,1000,0.263,0.5654157163591126,0.9207858048162232,0.1489513727020474,1.0,0.4837,0.5088,0.5853,0.4622,0.39407007570692143
127,tha,bel,0.036,51,10,0.0110116999311768,393,1000,0.393,0.5525618374558304,0.9207858048162232,0.1599215074926046,1.0,0.5199,0.7056,1.238,1.2969,0.3666936513139357
128,tha,mar,0.1532,28,33,0.0,466,1000,0.466,0.5290718671000361,0.9207858048162232,0.1809759305482058,1.0,0.4852,0.497,0.744,0.3576,0.12162198480050455
129,tha,cop,0.1176,37,24,0.0,514,1000,0.514,0.4940717882085432,0.9207858048162232,0.2147615780964931,1.0,0.4206,0.4879,0.7015,0.7748,0.3717093638778509
130,tha,tam,0.19,10,51,0.0113558155540261,600,1000,0.6,0.5614149588826524,0.9207858048162232,0.1523240411538923,1.0,0.4875,0.5004,0.7261,0.455,0.12089960783699064
131,tha,gle,0.2188,7,54,0.0110116999311768,1020,1000,1.02,0.3499300699300699,0.9207858048162232,0.3843576292243852,1.0,0.4244,0.476,0.6733,0.4739,0.49442290487752893
132,tha,hun,0.1312,34,27,0.0213351686166551,1800,1000,1.8,0.4546198320061089,0.9207858048162232,0.2563090307368592,1.0,0.4704,0.4824,0.3962,0.4303,0.40464785040997164
133,tha,tel,0.2268,6,55,0.0003441156228492,1328,1000,1.328,0.3446196660482374,0.9207858048162232,0.3915418889013977,1.0,0.4916,0.4971,0.422,0.4178,0.1205052940889297
134,tha,afr,0.0734,45,16,0.019958706125258,1934,1000,1.934,0.203484865408243,0.9207858048162232,0.6068558856777021,1.0,0.7465,0.7071,0.8197,0.5578,0.47368023955701377
135,tha,vie,0.2395,4,57,0.0192704748795595,3000,1000,3.0,0.1568043561492321,0.9207858048162232,0.6884119413625749,1.0,0.3942,0.419,0.3098,0.4342,0.0431735405991628
136,tha,uig,0.2885,1,60,0.0096352374397797,3456,1000,3.456,0.4374610522567435,0.9207858048162232,0.2755248938233587,1.0,0.4663,0.6428,1.1257,1.2969,0.12334222578808579
