task_lang,transfer_lang,accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,genetic,syntactic,featural,phonological,inventory,geographic,morphological,hyper_genetic,scriptural,islands
mar,ceb,0.09,44,10,0.0,10000,10000,1.0,1.0,0.703,0.6065,0.2301,0.5195,0.2077,0.7837,3.225,0.6019,0.1381917570886555
mar,ckb,0.21,14,40,0.0,6279,10000,0.6279,0.75,0.6647,0.5974,0.4467,0.5819,0.1458,0.5,3.02,0.571,0.12581016308884352
mar,deu,0.22,10,44,0.0,10000,10000,1.0,0.8571,0.5452,0.5479,0.5207,0.5522,0.2572,,3.205,0.6019,0.1163590942238868
mar,fas,0.15,27,27,0.0,10000,10000,1.0,1.0,0.5819,0.5579,0.4121,0.5342,0.1016,0.5779,2.965,,0.1141492728892819
mar,fra,0.11,39,15,0.0,10000,10000,1.0,0.9375,0.6478,0.5973,0.4467,0.5174,0.2834,0.6723,3.174,0.6019,0.12317611636330028
mar,hau,0.17,22,32,0.0,1071,10000,0.1071,1.0,0.6542,0.6111,0.3125,0.5648,0.28,0.762,3.18,0.571,0.14072242069405028
mar,hin,0.56,1,53,0.054,10000,10000,1.0,0.625,0.5075,0.4799,0.4467,0.398,0.0324,0.5865,3.014,0.3534,0.07828776005720406
mar,hun,0.21,14,40,0.0,10000,10000,1.0,1.0,0.5556,0.5349,0.3125,0.4901,0.2374,0.6104,3.209,0.6019,0.10461019122284965
mar,ilo,0.15,27,27,0.0004,3549,10000,0.3549,1.0,0.7231,0.5767,0.2301,0.4571,0.1873,0.6644,3.305,0.6019,0.13355862278168984
mar,ind,0.27,5,49,0.0,10000,10000,1.0,1.0,0.6839,0.5935,0.3125,0.47,0.1828,0.7837,3.295,0.571,0.12154077955237474
mar,ita,0.23,8,46,0.0,10000,10000,1.0,0.9,0.64,0.6024,0.2301,0.5248,0.2545,0.6957,3.166,0.6019,0.1125716702604761
mar,jav,0.21,14,40,0.0,9243,10000,0.9243,1.0,0.6735,0.5504,0.3125,0.409,0.1707,0.879,3.139,0.6019,0.12626252791015624
mar,kaz,0.11,39,15,0.0,10000,10000,1.0,1.0,0.0,0.2677,0.5,,0.116,,3.266,0.571,0.1444279234659872
mar,kin,0.07,46,8,0.0,864,10000,0.0864,1.0,0.8151,0.619,0.5922,0.553,0.2195,,3.264,0.6019,0.1518946661612347
mar,kir,0.22,10,44,0.0,10000,10000,1.0,1.0,0.3195,0.5393,0.5207,0.5986,0.1094,,3.305,0.571,0.1061553410200502
mar,kur,0.24,6,48,0.0,4006,10000,0.4006,1.0,0.6529,0.5913,0.4467,0.5819,0.1462,,2.94,0.571,0.12081199303335399
mar,lao,0.01,53,1,0.0,521,10000,0.0521,1.0,0.7265,0.6291,0.2301,0.4997,0.1205,1.0,3.207,0.4685,0.13314588779226866
mar,mlt,0.06,47,7,0.0,1390,10000,0.139,1.0,0.5715,0.5671,0.3125,0.5422,0.2479,0.6368,3.215,0.6019,0.1059383326677239
mar,mya,0.03,49,5,0.0,3282,10000,0.3282,1.0,0.5863,0.5333,0.369,0.4475,0.0754,0.6123,3.244,0.4685,0.10262228146760521
mar,msa,0.2,17,37,0.0,10000,10000,1.0,1.0,0.719,0.6584,0.4078,0.5324,0.129,0.8632,3.361,,0.13360145825795133
mar,nld,0.14,31,23,0.0,10000,10000,1.0,0.9,0.5784,0.5616,0.4121,0.5625,0.2764,0.5609,3.11,0.6019,0.12026919971040839
mar,nya,0.04,48,6,0.0,237,10000,0.0237,1.0,0.8114,0.8114,,,0.2355,,3.252,0.6019,0.14352942018967163
mar,orm,0.11,39,15,0.0,265,10000,0.0265,1.0,0.5684,0.4936,0.3125,0.4738,0.1582,,3.271,0.6019,0.10542535809587938
mar,pan,0.36,4,50,0.0,7902,10000,0.7902,0.5714,0.444,0.4197,0.3125,0.3531,0.0555,0.5058,3.018,0.3799,0.06641967544945337
mar,pol,0.15,27,27,0.0,10000,10000,1.0,0.8333,0.5473,0.5573,0.3125,0.5464,0.2444,0.6267,3.201,0.6019,0.10647740727104893
mar,por,0.13,34,20,0.0,10000,10000,1.0,0.9333,0.6106,0.5762,0.3125,0.4726,0.3011,0.7254,3.158,0.6019,0.12845145717220863
mar,ron,0.17,22,32,0.0002,10000,10000,1.0,0.8889,0.6599,0.5354,0.3125,0.4744,0.2247,,3.145,0.6019,0.1007192861199312
mar,rus,0.03,49,5,0.0,10000,10000,1.0,0.8,0.5668,0.5713,0.3445,0.6018,0.1613,0.5582,3.086,0.7323,0.10274504193410261
mar,sna,0.13,34,20,0.0,592,10000,0.0592,1.0,0.6986,0.6554,0.4909,0.5638,0.2504,0.7819,3.213,0.6019,0.15657043631129186
mar,som,0.09,44,10,0.0,1246,10000,0.1246,1.0,0.5458,0.4952,0.4121,0.4513,0.1499,0.5065,3.254,0.6019,0.09821784276318812
mar,spa,0.2,17,37,0.0,10000,10000,1.0,0.9231,0.6599,0.5823,0.4078,0.5499,0.2935,,3.096,0.6019,0.11559137544301823
mar,swa,0.18,20,34,0.0005,10000,10000,1.0,1.0,0.6955,0.6436,0.4121,0.5469,0.2048,0.7729,3.256,0.4878,0.14053605757834198
mar,swe,0.16,24,30,0.0,10000,10000,1.0,0.8571,0.593,0.5866,0.4544,0.5352,0.2557,0.7308,3.14,0.6213,0.13066387213897923
mar,tam,0.22,10,44,0.0,10000,10000,1.0,1.0,0.5319,0.4624,0.369,0.3687,0.0352,0.4928,3.23,0.402,0.07305631593402262
mar,tel,0.38,2,52,0.0,5991,10000,0.5991,1.0,0.46,0.4093,0.3125,0.3556,0.0112,0.4315,3.154,0.3141,0.07308992534698333
mar,tgk,0.15,27,27,0.0,10000,10000,1.0,0.8,0.6509,0.6509,,,0.0999,,3.08,0.571,0.11104249551347511
mar,tgl,0.16,24,30,0.0001,10000,10000,1.0,1.0,0.6618,0.5797,0.2301,0.4531,0.1917,0.763,3.23,0.5303,0.12256293379170613
mar,tha,0.11,39,15,0.0003,10000,10000,1.0,1.0,0.7543,0.6058,0.2301,0.3767,0.1056,1.0,3.287,0.6019,0.12870139544439274
mar,tir,0.02,52,2,0.0,81,10000,0.0081,1.0,0.551,0.5269,0.4121,0.5354,0.1614,,3.26,0.5319,0.11428117628927204
mar,tuk,0.19,19,35,0.0001,1152,10000,0.1152,1.0,0.5007,0.5268,0.5,,0.111,0.5633,3.201,0.571,0.09786844191958721
mar,tur,0.22,10,44,0.0,10000,10000,1.0,1.0,0.5718,0.5568,0.4078,0.5638,0.1925,0.5441,3.205,0.6019,0.1218527479762167
mar,ukr,0.23,8,46,0.0,10000,10000,1.0,0.8333,0.5854,0.5618,0.2301,0.5248,0.2263,0.641,3.15,0.7323,0.10244361197188845
mar,uig,0.12,37,17,0.0,1167,10000,0.1167,1.0,0.357,0.375,0.5,,0.1168,,3.232,0.571,0.11023419782406141
mar,uzb,0.13,34,20,0.0,10000,10000,1.0,1.0,0.5284,0.5422,0.5207,0.5472,0.1065,,3.287,0.586,0.11247050953846882
mar,vie,0.14,31,23,0.0001,10000,10000,1.0,1.0,0.7874,0.6663,0.4121,0.5383,0.1285,0.8485,3.238,0.6657,0.1585071083683628
mar,xho,0.03,49,5,0.0,218,10000,0.0218,1.0,0.7264,0.6286,0.4121,0.5351,0.2869,0.6875,3.256,0.6019,0.14935228930873146
mar,yor,0.18,20,34,0.0005,7227,10000,0.7227,1.0,0.841,0.5773,0.0,0.4407,0.3018,,3.201,0.571,0.13559460062778506
mar,zul,0.12,37,17,0.0,462,10000,0.0462,1.0,0.6961,0.6128,0.369,0.5774,0.2648,0.5922,3.299,0.6019,0.14041290439265286
pan,amh,0.26,5,49,0.0,2028,7902,0.2566438876233865,1.0,0.528,0.5156,0.2163,0.5241,0.1698,0.5198,3.188,0.419,0.1238395489803168
pan,ara,0.05,44,10,0.0,10000,7902,1.2655024044545684,1.0,0.673,0.6167,,,0.1254,0.505,3.225,0.3534,0.11168811263656597
pan,aze,0.16,14,40,0.0,10000,7902,1.2655024044545684,1.0,0.512,0.5314,0.3824,0.5604,0.1174,0.5434,3.104,,0.1036706259779323
pan,ben,0.29,4,50,0.0,10000,7902,1.2655024044545684,0.625,0.409,0.3475,0.2048,0.3369,0.0644,,2.963,0.4128,0.07204801851024045
pan,cat,0.12,26,28,0.0001265502404454,10000,7902,1.2655024044545684,0.9091,0.5617,0.5225,0.0,0.4574,0.2506,0.6028,3.041,0.5722,0.09220261067607727
pan,ceb,0.05,44,10,0.0,10000,7902,1.2655024044545684,1.0,0.7274,0.6142,0.2163,0.5457,0.2201,0.7125,3.17,0.5722,0.13939087412235607
pan,ckb,0.16,14,40,0.0,6279,7902,0.7946089597570235,0.75,0.6735,0.571,0.3333,0.5465,0.1157,0.5,2.979,0.4065,0.13101688360695396
pan,deu,0.14,19,35,0.0,10000,7902,1.2655024044545684,0.8571,0.518,0.5114,0.4054,0.5228,0.2217,,3.137,0.5722,0.11326368949268673
pan,fas,0.13,21,33,0.0,10000,7902,1.2655024044545684,1.0,0.5335,0.5292,0.4054,0.5479,0.0815,0.5152,2.918,,0.10920921363799241
pan,fra,0.09,36,18,0.0,10000,7902,1.2655024044545684,0.9375,0.639,0.5619,0.3333,0.4609,0.2494,0.6199,3.111,0.5722,0.10151024702353095
pan,hau,0.18,8,46,0.0001265502404454,1071,7902,0.1355353075170842,1.0,0.6192,0.5843,0.303,0.562,0.2755,0.6657,3.121,0.4065,0.13284354462075798
pan,hin,0.49,1,53,0.0,10000,7902,1.2655024044545684,0.625,0.4009,0.3973,0.3333,0.3253,0.0237,0.5397,2.996,0.3344,0.052005881952615685
pan,hun,0.1,32,22,0.0,10000,7902,1.2655024044545684,1.0,0.5316,0.5152,0.303,0.4758,0.2021,0.5843,3.152,0.5722,0.1055233772580314
pan,ilo,0.07,41,13,0.0001265502404454,3549,7902,0.4491268033409264,1.0,0.6716,0.567,0.2163,0.4987,0.193,0.622,3.252,0.5722,0.11946433981469595
pan,ind,0.2,7,47,0.0,10000,7902,1.2655024044545684,1.0,0.6372,0.5551,0.0,0.4715,0.2173,0.6765,3.24,0.4065,0.11155364075614815
pan,ita,0.15,16,38,0.0,10000,7902,1.2655024044545684,0.9,0.5535,0.5483,0.2163,0.5192,0.2231,0.6277,3.104,0.5722,0.10136252047502736
pan,jav,0.12,26,28,0.0001265502404454,9243,7902,1.1697038724373576,1.0,0.716,0.5405,0.303,0.3915,0.1999,0.786,3.076,0.5722,0.11449354454952176
pan,kaz,0.11,31,23,0.0,10000,7902,1.2655024044545684,1.0,0.0,0.0,0.0,,0.0651,,3.213,0.4065,0.16563824921652148
pan,kin,0.03,49,5,0.0001265502404454,864,7902,0.1093394077448747,1.0,0.8211,0.5888,0.4717,0.5311,0.2349,,3.21,0.5722,0.14553135336539014
pan,kir,0.17,10,44,0.0,10000,7902,1.2655024044545684,1.0,0.4093,0.4938,0.4054,0.5306,0.055,,3.252,0.4065,0.0990321599442795
pan,kur,0.15,16,38,0.0001265502404454,4006,7902,0.5069602632245002,1.0,0.6656,0.5653,0.3333,0.5465,0.1155,,2.893,0.4065,0.12507804841136116
pan,lao,0.01,53,1,0.0001265502404454,521,7902,0.065932675272083,1.0,0.6632,0.605,0.2163,0.5167,0.1344,0.9037,3.148,0.5288,0.13276234738158577
pan,mar,0.35,3,51,0.0,10000,7902,1.2655024044545684,0.5714,0.444,0.4197,0.3125,0.3531,0.0555,0.5058,3.018,0.3799,0.06641967544945337
pan,mlt,0.08,37,17,0.0001265502404454,1390,7902,0.175904834219185,1.0,0.5936,0.5583,0.303,0.5681,0.2224,0.5348,3.158,0.5722,0.10441110685920185
pan,mya,0.03,49,5,0.0,3282,7902,0.4153378891419894,1.0,0.6551,0.5669,0.2048,0.4423,0.0859,0.6534,3.191,0.5288,0.1069435199838672
pan,msa,0.18,8,46,0.0,10000,7902,1.2655024044545684,1.0,0.735,0.6342,0.2163,0.509,0.1628,0.793,3.312,,0.12670501959569558
pan,nld,0.13,21,33,0.0,10000,7902,1.2655024044545684,0.9,0.5866,0.5317,0.2804,0.4873,0.2397,0.5397,3.033,0.5722,0.11258378704056338
pan,nya,0.04,47,7,0.0001265502404454,237,7902,0.0299924069855732,1.0,0.7222,0.7222,,,0.2618,,3.197,0.5722,0.14358210669386484
pan,orm,0.08,37,17,0.0,265,7902,0.033535813718046,1.0,0.5291,0.4784,0.303,0.4727,0.1711,,3.217,0.5722,0.11398546508796759
pan,pol,0.12,26,28,0.0,10000,7902,1.2655024044545684,0.8333,0.5294,0.5272,0.0,0.5412,0.2059,0.5447,3.148,0.5722,0.10737592829096188
pan,por,0.07,41,13,0.0,10000,7902,1.2655024044545684,0.9333,0.5278,0.5128,0.0,0.4629,0.2713,0.6277,3.096,0.5722,0.09680643336519168
pan,ron,0.13,21,33,0.0,10000,7902,1.2655024044545684,0.8889,0.5833,0.5353,0.303,0.5311,0.1891,,3.08,0.5722,0.10255290173775644
pan,rus,0.05,44,10,0.0,10000,7902,1.2655024044545684,0.8,0.566,0.5647,0.3125,0.5856,0.1086,0.5552,3.027,0.6667,0.11052216433132778
pan,sna,0.14,19,35,0.0001265502404454,592,7902,0.0749177423437104,1.0,0.7112,0.6134,0.3613,0.5169,0.276,0.6599,3.156,0.5722,0.13395716524585044
pan,som,0.04,47,7,0.0001265502404454,1246,7902,0.1576815995950392,1.0,0.5176,0.4709,0.4054,0.4674,0.1703,0.3811,3.2,0.5722,0.09722186947847
pan,spa,0.15,16,38,0.0,10000,7902,1.2655024044545684,0.9231,0.5569,0.5454,0.3824,0.5577,0.2647,,3.03,0.5722,0.10773348480794764
pan,swa,0.08,37,17,0.0,10000,7902,1.2655024044545684,1.0,0.6539,0.5887,0.2804,0.5008,0.2304,0.68,3.201,0.3534,0.12622319037647545
pan,swe,0.1,32,22,0.0,10000,7902,1.2655024044545684,0.8571,0.6156,0.5763,0.303,0.5228,0.2132,0.6584,3.064,0.5392,0.11688501048243327
pan,tam,0.21,6,48,0.0,10000,7902,1.2655024044545684,1.0,0.5782,0.4937,0.2048,0.4131,0.0896,0.5117,3.178,0.301,0.08326808955931941
pan,tel,0.46,2,52,0.0,5991,7902,0.7581624905087321,1.0,0.5091,0.4082,0.0,0.2687,0.0633,0.5348,3.098,0.4152,0.06058023027889747
pan,tgk,0.13,21,33,0.0,10000,7902,1.2655024044545684,0.8,0.6445,0.6445,,,0.0483,,3.041,0.4065,0.1330142722532458
pan,tgl,0.1,32,22,0.0,10000,7902,1.2655024044545684,1.0,0.6368,0.5629,0.2163,0.4781,0.1993,0.6625,3.176,0.5346,0.1203936130028973
pan,tha,0.07,41,13,0.0001265502404454,10000,7902,1.2655024044545684,1.0,0.7254,0.5966,0.2163,0.4365,0.1259,0.7975,3.234,0.6267,0.1313138875802553
pan,tir,0.02,52,2,0.0,81,7902,0.010250569476082,1.0,0.5489,0.5585,0.4054,0.5825,0.1638,,3.207,0.419,0.1262918246061252
pan,tuk,0.17,10,44,0.0,1152,7902,0.1457858769931662,1.0,0.5713,0.5644,0.0,,0.0703,0.5737,3.145,0.4065,0.10364309336001687
pan,tur,0.13,21,33,0.0,10000,7902,1.2655024044545684,1.0,0.5931,0.5583,0.3824,0.548,0.161,0.5347,3.148,0.5722,0.11780219131034209
pan,ukr,0.17,10,44,0.0,10000,7902,1.2655024044545684,0.8333,0.5579,0.5229,0.2163,0.5008,0.1892,0.5339,3.094,0.6667,0.08668975093153486
pan,uig,0.12,26,28,0.0,1167,7902,0.1476841305998481,1.0,0.4938,0.4737,0.0,,0.0639,,3.178,0.4065,0.12440073756701764
pan,uzb,0.17,10,44,0.0,10000,7902,1.2655024044545684,1.0,0.5358,0.549,0.4054,0.5762,0.0543,,3.234,0.3714,0.11534533320190499
pan,vie,0.1,32,22,0.0,10000,7902,1.2655024044545684,1.0,0.7525,0.6274,0.2804,0.4699,0.1371,0.9349,3.182,0.642,0.15291726100335223
pan,xho,0.03,49,5,0.0001265502404454,218,7902,0.0275879524171095,1.0,0.7236,0.5845,0.2804,0.5008,0.3171,0.5681,3.203,0.5722,0.1309545858298673
pan,yor,0.08,37,17,0.0001265502404454,7227,7902,0.9145785876993168,1.0,0.7488,0.5722,0.3125,0.4832,0.299,,3.145,0.4065,0.13593513373741806
pan,zul,0.12,26,28,0.0,462,7902,0.058466211085801,1.0,0.6881,0.5898,0.3613,0.5342,0.2948,0.5641,3.246,0.5722,0.14110247641048812
tel,amh,0.22,6,48,0.00016691704223,2028,5991,0.3385077616424637,1.0,0.4738,0.4823,0.3277,0.5211,0.1701,0.3729,3.084,0.4646,0.11072579110151093
tel,ara,0.06,45,9,0.0,10000,5991,1.669170422300117,1.0,0.7068,0.6638,,,0.1526,0.5505,3.123,0.409,0.1271120786595492
tel,aze,0.16,15,39,0.0,10000,5991,1.669170422300117,1.0,0.5406,0.5163,0.3824,0.5727,0.1652,0.3255,3.02,,0.08502409477511319
tel,ben,0.3,5,49,0.0,10000,5991,1.669170422300117,1.0,0.5019,0.3596,0.2566,0.3198,0.0594,,3.076,0.3548,0.05812355793882229
tel,cat,0.14,25,29,0.0,10000,5991,1.669170422300117,1.0,0.6449,0.5449,0.0,0.4565,0.2897,0.5922,3.031,0.5096,0.10919769186434936
tel,ceb,0.08,40,14,0.0,10000,5991,1.669170422300117,1.0,0.7061,0.595,0.2163,0.5587,0.1993,0.6224,3.072,0.5096,0.13475046726517026
tel,ckb,0.18,9,45,0.00016691704223,6279,5991,1.0480721081622433,1.0,0.6206,0.5567,0.3064,0.5743,0.1564,0.0,3.068,0.4867,0.1103004180235232
tel,deu,0.15,21,33,0.0,10000,5991,1.669170422300117,1.0,0.5962,0.5375,0.3695,0.5367,0.2665,,3.18,0.5096,0.12186264326414031
tel,fas,0.14,25,29,0.0,10000,5991,1.669170422300117,1.0,0.6187,0.5535,0.3695,0.5447,0.1124,0.4717,2.998,,0.1055186934872272
tel,fra,0.09,39,15,0.0,10000,5991,1.669170422300117,1.0,0.7226,0.5772,0.3064,0.4777,0.2924,0.5489,3.098,0.5096,0.12875529517387474
tel,hau,0.16,15,39,0.0,1071,5991,0.1787681522283425,1.0,0.7133,0.6049,0.3695,0.5594,0.2877,0.5702,3.027,0.4867,0.13888940044221776
tel,hin,0.47,1,53,0.0,10000,5991,1.669170422300117,1.0,0.5545,0.4383,0.3064,0.3131,0.0399,0.5019,3.139,0.3918,0.07299945102111005
tel,hun,0.12,32,22,0.0,10000,5991,1.669170422300117,1.0,0.5489,0.4952,0.2736,0.4744,0.247,0.4511,3.049,0.5096,0.10984164109757599
tel,ilo,0.13,29,25,0.00016691704223,3549,5991,0.5923885828743115,1.0,0.6645,0.5289,0.2163,0.496,0.1798,0.432,3.174,0.5096,0.1202273576978834
tel,ind,0.19,7,47,0.0,10000,5991,1.669170422300117,1.0,0.7452,0.5908,0.0,0.4878,0.1726,0.7048,3.162,0.4867,0.11555087394648078
tel,ita,0.15,21,33,0.0,10000,5991,1.669170422300117,1.0,0.631,0.5623,0.2163,0.5157,0.264,0.5127,3.086,0.5096,0.11378513510654242
tel,jav,0.18,9,45,0.00016691704223,9243,5991,1.5428142213319982,1.0,0.723,0.5359,0.3613,0.4304,0.1607,0.7374,2.965,0.5096,0.1197552919157957
tel,kaz,0.12,32,22,0.0,10000,5991,1.669170422300117,1.0,0.0,0.0,0.0,,0.1251,,3.137,0.4867,0.1422584355047345
tel,kin,0.05,47,7,0.0,864,5991,0.1442163244867301,1.0,0.718,0.5523,0.4717,0.5114,0.2254,,3.107,0.5096,0.12871207175953014
tel,kir,0.17,12,42,0.0,10000,5991,1.669170422300117,1.0,0.3195,0.4862,0.3695,0.5442,0.1168,,3.18,0.4867,0.06743626358283916
tel,kur,0.17,12,42,0.0,4006,5991,0.6686696711734268,1.0,0.5903,0.5484,0.3064,0.5743,0.1567,,2.986,0.4867,0.10414576232045303
tel,lao,0.01,52,2,0.0,521,5991,0.086963779001836,1.0,0.7704,0.641,0.2163,0.5309,0.1122,1.0,3.08,0.439,0.13637748913802894
tel,mar,0.36,3,51,0.0,10000,5991,1.669170422300117,1.0,0.46,0.4093,0.3125,0.3556,0.0112,0.4315,3.154,0.3141,0.07308992534698333
tel,mlt,0.08,40,14,0.0,1390,5991,0.2320146886997162,1.0,0.5814,0.548,0.303,0.5629,0.2574,0.5037,3.049,0.5096,0.1242576214758968
tel,mya,0.01,52,2,0.0,3282,5991,0.5478217325988983,1.0,0.5779,0.4962,0.2566,0.4426,0.0688,0.5127,3.11,0.439,0.09087992256171451
tel,msa,0.19,7,47,0.0,10000,5991,1.669170422300117,1.0,0.7337,0.6226,0.2163,0.5235,0.1185,0.8073,3.238,,0.13617227110404184
tel,nld,0.11,35,19,0.0,10000,5991,1.669170422300117,1.0,0.6219,0.561,0.2804,0.518,0.2854,0.6082,3.068,0.5096,0.13025499489446757
tel,nya,0.03,49,5,0.0,237,5991,0.0395593390085127,1.0,0.8806,0.8806,,,0.2388,,3.092,0.5096,0.13155200130709632
tel,orm,0.08,40,14,0.0,265,5991,0.044233016190953,1.0,0.5342,0.503,0.3695,0.5075,0.1655,,3.125,0.5096,0.09506946652528503
tel,pan,0.44,2,52,0.0,7902,5991,1.3189784677015524,1.0,0.5091,0.4082,0.0,0.2687,0.0633,0.5348,3.098,0.4152,0.06058023027889747
tel,pol,0.13,29,25,0.0,10000,5991,1.669170422300117,1.0,0.5686,0.5373,0.0,0.5379,0.2537,0.5348,3.145,0.5096,0.13000839140305087
tel,por,0.1,37,17,0.0,10000,5991,1.669170422300117,1.0,0.6183,0.535,0.0,0.4797,0.31,0.5127,3.084,0.5096,0.11521070606046557
tel,ron,0.16,15,39,0.0,10000,5991,1.669170422300117,1.0,0.6994,0.5581,0.2871,0.5114,0.2344,,3.064,0.5096,0.11310683409919797
tel,rus,0.04,48,6,0.0,10000,5991,1.669170422300117,1.0,0.6066,0.5578,0.2804,0.5801,0.1684,0.4174,3.025,0.6421,0.11952370444778082
tel,sna,0.15,21,33,0.0,592,5991,0.0988148890001669,1.0,0.7101,0.5977,0.3613,0.5311,0.2535,0.5935,3.047,0.5096,0.13814318012900229
tel,som,0.06,45,9,0.0,1246,5991,0.2079786346185945,1.0,0.5892,0.4968,0.4034,0.4681,0.1559,0.3661,3.107,0.5096,0.11636290904864999
tel,spa,0.18,9,45,0.0,10000,5991,1.669170422300117,1.0,0.688,0.5885,0.3433,0.5702,0.3025,,3.018,0.5096,0.11727507308843899
tel,swa,0.12,32,22,0.00016691704223,10000,5991,1.669170422300117,1.0,0.7238,0.6002,0.3277,0.5311,0.2088,0.5741,3.1,0.409,0.12979638006583483
tel,swe,0.08,40,14,0.0,10000,5991,1.669170422300117,1.0,0.6524,0.569,0.303,0.4904,0.2644,0.66,3.125,0.5354,0.1254608383603576
tel,tam,0.33,4,50,0.00016691704223,10000,5991,1.669170422300117,0.9091,0.3698,0.3928,0.2048,0.4327,0.0271,0.3951,2.729,0.3649,0.049242269391915006
tel,tgk,0.16,15,39,0.0,10000,5991,1.669170422300117,1.0,0.6111,0.6111,,,0.1089,,3.113,0.4867,0.10334273128319205
tel,tgl,0.16,15,39,0.0,10000,5991,1.669170422300117,1.0,0.7003,0.5647,0.195,0.4763,0.1839,0.6035,3.076,0.4404,0.1266207295489611
tel,tha,0.07,44,10,0.0,10000,5991,1.669170422300117,1.0,0.7837,0.5969,0.2736,0.4364,0.0966,0.8869,3.17,0.5829,0.13113149765613563
tel,tir,0.02,51,3,0.0,81,5991,0.0135202804206309,1.0,0.4359,0.5371,0.4054,0.5796,0.17,,3.104,0.4646,0.10186893115694895
tel,tuk,0.16,15,39,0.00016691704223,1152,5991,0.1922884326489734,1.0,0.4933,0.4391,0.0,,0.1214,0.3433,3.062,0.4867,0.08121956734917812
tel,tur,0.14,25,29,0.0,10000,5991,1.669170422300117,1.0,0.5513,0.5074,0.3433,0.5461,0.2027,0.3173,3.068,0.5096,0.10042083327406648
tel,ukr,0.17,12,42,0.0,10000,5991,1.669170422300117,1.0,0.6031,0.5376,0.2163,0.5157,0.2359,0.4643,3.098,0.6421,0.1027440120541292
tel,uig,0.15,21,33,0.0,1167,5991,0.1947921882824236,1.0,0.0,0.1927,0.5354,,0.1228,,3.098,0.4867,0.09394440103901514
tel,uzb,0.14,25,29,0.0,10000,5991,1.669170422300117,1.0,0.2352,0.4893,0.4054,0.5727,0.1153,,3.158,0.5062,0.0765175877833405
tel,vie,0.1,37,17,0.0,10000,5991,1.669170422300117,1.0,0.8143,0.6348,0.3064,0.5158,0.1209,0.9202,3.11,0.5933,0.15179523520858051
tel,xho,0.03,49,5,0.0,218,5991,0.0363879152061425,1.0,0.7594,0.5927,0.2804,0.5319,0.2881,0.4685,3.098,0.5096,0.13238326236679332
tel,yor,0.11,35,19,0.00016691704223,7227,5991,1.2063094641962944,1.0,0.887,0.6048,0.4054,0.4798,0.3091,,3.031,0.4867,0.13438662974171278
tel,zul,0.13,29,25,0.0,462,5991,0.0771156735102654,1.0,0.7247,0.5914,0.432,0.5309,0.2666,0.4935,3.146,0.5096,0.1341974333386916
tir,amh,0.63,1,53,0.382716049382716,2028,81,25.03703703703704,0.5,0.4174,0.4002,0.3498,0.3973,0.0169,,2.924,0.0,0.07082323497329934
tir,ara,0.24,37,17,0.0,10000,81,123.45679012345678,1.0,0.6902,0.6902,,,0.0613,,3.053,0.238,0.08945119868685203
tir,aze,0.37,10,44,0.0123456790123456,10000,81,123.45679012345678,1.0,0.3217,0.4976,0.4638,0.5287,0.1194,,3.145,,0.07140112811916799
tir,ben,0.39,4,50,0.0,10000,81,123.45679012345678,1.0,0.4918,0.5427,0.3433,0.5877,0.2131,,3.188,0.5541,0.10053753509718855
tir,cat,0.23,39,15,0.0,10000,81,123.45679012345678,1.0,0.6279,0.5155,0.4054,0.4901,0.1797,,3.154,0.572,0.10991898052535576
tir,ceb,0.28,29,25,0.0123456790123456,10000,81,123.45679012345678,1.0,0.6614,0.5421,0.4638,0.5195,0.3428,,3.21,0.572,0.10130059838071237
tir,ckb,0.33,14,40,0.0,6279,81,77.51851851851852,1.0,0.5795,0.4231,0.1864,0.4096,0.0963,,3.182,0.3661,0.05588357561072599
tir,deu,0.26,33,21,0.0,10000,81,123.45679012345678,1.0,0.4899,0.4951,0.4816,0.4997,0.1766,,3.285,0.572,0.0829789742656708
tir,fas,0.24,37,17,0.0,10000,81,123.45679012345678,1.0,0.5064,0.4439,0.2736,0.4531,0.091,,3.12,,0.07137254491031986
tir,fra,0.21,41,13,0.0,10000,81,123.45679012345678,1.0,0.5495,0.5031,0.427,0.5,0.1967,,3.213,0.572,0.09424289890317528
tir,hau,0.29,26,28,0.0,1071,81,13.22222222222222,0.8333,0.6063,0.5239,0.4054,0.511,0.1331,,3.07,0.3661,0.10483886714754964
tir,hin,0.42,3,51,0.0,10000,81,123.45679012345678,1.0,0.5319,0.5123,0.3277,0.5302,0.1644,,3.246,0.5692,0.11890992579049087
tir,hun,0.26,33,21,0.0,10000,81,123.45679012345678,1.0,0.5348,0.4692,0.4054,0.4488,0.1582,,3.176,0.572,0.10318894219648256
tir,ilo,0.31,19,35,0.0,3549,81,43.814814814814824,1.0,0.631,0.5472,0.4638,0.5396,0.3258,,3.293,0.572,0.11462705560923148
tir,ind,0.36,12,42,0.0,10000,81,123.45679012345678,1.0,0.7349,0.5293,0.4054,0.47,0.309,,3.287,0.3661,0.10515695179826656
tir,ita,0.33,14,40,0.0,10000,81,123.45679012345678,1.0,0.5879,0.4895,0.3498,0.4608,0.1593,,3.203,0.572,0.09217082252533348
tir,jav,0.28,29,25,0.0,9243,81,114.11111111111111,1.0,0.6591,0.5435,0.5032,0.5235,0.3057,,3.121,0.572,0.11983382638289453
